Date,Volume Traded,Stock Price (INR),Revenue (Million INR),Expenses (Million INR),Net Profit (Million INR)
2024-01-01,1000000,12450.0,4150.0,2490,1660.0
2024-01-02,1100000,13246.800000000001,6003.5560000000005,2573,2875.9500000000003
2024-01-03,1050000,13512.400000000001,7418.2080000000005,2407,3984.0
2024-01-04,1200000,12865.0,5523.65,2656,6204.250000000001
2024-01-05,1250000,13682.550000000001,6258.2,2822,2788.7999999999997
2024-01-06,1300000,14608.000000000002,8525.76,2905,3112.5
2024-01-07,1280000,13114.0,5582.580000000001,2739,4747.6
2024-01-08,1350000,14118.300000000001,8094.658,2988,6474.0
2024-01-09,1400000,15064.500000000002,8632.0,3154,2913.3
2024-01-10,1380000,13529.0,5595.030000000001,3071,4531.799999999999
